timestamp,temperature,humidity,surface_radiation,upper_atmospheric_radiation,hour,month,air_density,wind_velocity,output_hybrid
2019-01-01 08:00:00,-19.889,0.001,82.68,209.252,8,1,1.335,6.178,1461.49
2019-01-01 09:00:00,-19.004,0.001,149.553,345.604,9,1,1.337,6.534,1940.806
2019-01-01 10:00:00,-17.971,0.001,193.625,430.654,10,1,1.339,6.747,2418.649
2019-01-01 11:00:00,-17.281,0.001,203.808,458.55,11,1,1.34,6.765,2643.376
2019-01-01 12:00:00,-16.738,0.001,185.193,427.391,12,1,1.342,6.606,2466.902
2019-01-01 13:00:00,-16.442,0.001,136.653,339.301,13,1,1.344,6.167,1861.908
2019-01-01 14:00:00,-16.69,0.001,71.312,200.286,14,1,1.346,5.536,1183.53
2019-01-01 15:00:00,-17.591,0.001,10.936,39.151,15,1,1.349,4.828,585.535
2019-01-01 16:00:00,-18.497,0.001,0.0,0.0,16,1,1.353,4.909,596.188
2019-01-01 17:00:00,-18.829,0.001,0.0,0.0,17,1,1.356,5.143,691.624
2019-01-01 18:00:00,-19.202,0.001,0.0,0.0,18,1,1.359,5.203,719.946
2019-01-01 19:00:00,-19.618,0.001,0.0,0.0,19,1,1.362,5.329,773.037
2019-01-01 20:00:00,-19.644,0.001,0.0,0.0,20,1,1.364,5.276,751.143
2019-01-01 21:00:00,-19.643,0.001,0.0,0.0,21,1,1.366,4.712,521.661
2019-01-01 22:00:00,-20.004,0.001,0.0,0.0,22,1,1.367,4.187,347.777
2019-01-01 23:00:00,-20.262,0.001,0.0,0.0,23,1,1.368,3.718,224.596
2019-01-02 00:00:00,-20.049,0.001,0.0,0.0,0,1,1.366,3.291,133.132
2019-01-02 01:00:00,-19.737,0.001,0.0,0.0,1,1,1.36,2.958,81.689
2019-01-02 02:00:00,-19.852,0.001,0.0,0.0,2,1,1.351,2.689,49.052
2019-01-02 03:00:00,-19.997,0.001,0.0,0.0,3,1,1.342,2.443,28.576
2019-01-02 04:00:00,-20.279,0.001,0.0,0.0,4,1,1.336,2.157,13.065
2019-01-02 05:00:00,-20.501,0.001,0.0,0.0,5,1,1.332,2.055,9.707
2019-01-02 06:00:00,-20.768,0.001,0.034,0.166,6,1,1.332,2.124,11.803
2019-01-02 07:00:00,-20.767,0.001,20.506,53.938,7,1,1.334,2.129,230.074
2019-01-02 08:00:00,-19.25,0.001,106.671,210.916,8,1,1.337,2.134,1504.637
2019-01-02 09:00:00,-17.086,0.001,215.461,347.367,9,1,1.34,3.019,3145.506
2019-01-02 10:00:00,-15.147,0.001,296.217,432.474,10,1,1.343,4.137,3828.394
2019-01-02 11:00:00,-13.838,0.001,322.804,460.39,11,1,1.345,4.821,4062.046
2019-01-02 12:00:00,-13.104,0.001,295.867,429.221,12,1,1.347,5.215,4105.654
2019-01-02 13:00:00,-13.065,0.001,221.238,341.081,13,1,1.349,5.362,3822.955
2019-01-02 14:00:00,-13.883,0.001,115.36,201.988,14,1,1.351,5.341,2941.5060000000003
2019-01-02 15:00:00,-16.573,0.001,17.407,40.134,15,1,1.354,5.515,1389.813
2019-01-02 16:00:00,-18.531,0.001,0.0,0.001,16,1,1.357,6.178,1203.781
2019-01-02 17:00:00,-19.09,0.001,0.0,0.0,17,1,1.359,6.259,1253.46
2019-01-02 18:00:00,-19.132,0.001,0.0,0.0,18,1,1.361,6.246,1243.41
2019-01-02 19:00:00,-19.135,0.001,0.0,0.0,19,1,1.363,6.211,1226.154
2019-01-02 20:00:00,-19.023,0.001,0.0,0.0,20,1,1.365,5.977,1097.053
2019-01-02 21:00:00,-19.043,0.001,0.0,0.0,21,1,1.366,5.81,1004.43
2019-01-02 22:00:00,-19.292,0.001,0.0,0.0,22,1,1.366,5.288,758.601
2019-01-02 23:00:00,-19.245,0.001,0.0,0.0,23,1,1.366,5.119,681.489
2019-01-03 00:00:00,-19.479,0.001,0.0,0.0,0,1,1.363,4.572,471.904
2019-01-03 01:00:00,-19.524,0.001,0.0,0.0,1,1,1.355,4.411,420.292
2019-01-03 02:00:00,-19.821,0.001,0.0,0.0,2,1,1.345,4.266,371.82
2019-01-03 03:00:00,-19.962,0.001,0.0,0.0,3,1,1.336,4.058,310.497
2019-01-03 04:00:00,-20.106,0.001,0.0,0.0,4,1,1.329,3.663,209.676
2019-01-03 05:00:00,-20.317,0.001,0.0,0.0,5,1,1.326,3.151,109.261
2019-01-03 06:00:00,-20.467,0.001,0.042,0.189,6,1,1.325,2.946,79.664
2019-01-03 07:00:00,-20.363,0.001,23.833,55.056,7,1,1.327,2.84,517.816
2019-01-03 08:00:00,-18.576,0.001,123.948,212.739,8,1,1.33,2.927,2018.503
2019-01-03 09:00:00,-16.211,0.001,240.516,349.286,9,1,1.332,2.931,3288.17
2019-01-03 10:00:00,-14.107,0.001,316.778,434.462,10,1,1.333,3.651,3647.134
2019-01-03 11:00:00,-12.565,0.001,340.951,462.405,11,1,1.335,4.443,3866.962
2019-01-03 12:00:00,-11.826,0.001,313.078,431.218,12,1,1.336,5.006,3948.408
2019-01-03 13:00:00,-11.8,0.001,237.003,343.034,13,1,1.336,4.882,3542.116
2019-01-03 14:00:00,-12.716,0.001,124.872,203.855,14,1,1.337,4.276,2453.486
2019-01-03 15:00:00,-15.926,0.001,19.287,41.226,15,1,1.338,4.025,828.621
2019-01-03 16:00:00,-17.919,0.001,0.0,0.001,16,1,1.339,4.291,381.965
2019-01-03 17:00:00,-18.623,0.001,0.0,0.0,17,1,1.34,4.646,500.95
2019-01-03 18:00:00,-19.124,0.001,0.0,0.0,18,1,1.341,5.046,655.073
2019-01-03 19:00:00,-19.491,0.001,0.0,0.0,19,1,1.341,5.558,883.458
2019-01-03 20:00:00,-19.762,0.001,0.0,0.0,20,1,1.341,6.144,1183.862
2019-01-03 21:00:00,-19.975,0.001,0.0,0.0,21,1,1.341,6.723,1528.621
2019-01-03 22:00:00,-20.091,0.001,0.0,0.0,22,1,1.34,7.021,1716.749
2019-01-03 23:00:00,-20.127,0.001,0.0,0.0,23,1,1.34,7.0,1703.317
2019-01-04 00:00:00,-18.958,0.001,0.0,0.0,0,1,1.338,6.574,1437.748
2019-01-04 01:00:00,-17.36,0.001,0.0,0.0,1,1,1.334,5.717,958.576
2019-01-04 02:00:00,-16.507,0.001,0.0,0.0,2,1,1.328,5.125,683.955
2019-01-04 03:00:00,-16.059,0.001,0.0,0.0,3,1,1.322,4.788,553.163
2019-01-04 04:00:00,-15.815,0.001,0.0,0.0,4,1,1.319,4.897,591.611
2019-01-04 05:00:00,-15.498,0.001,0.0,0.0,5,1,1.317,5.309,767.835
2019-01-04 06:00:00,-15.513,0.001,0.035,0.218,6,1,1.318,5.706,956.381
2019-01-04 07:00:00,-15.199,0.001,13.632,56.282,7,1,1.319,5.923,1066.4060000000002
2019-01-04 08:00:00,-14.599,0.001,72.765,214.723,8,1,1.322,5.683,1042.513
2019-01-04 09:00:00,-13.791,0.001,145.273,351.385,9,1,1.325,5.768,1276.272
2019-01-04 10:00:00,-12.917,0.001,198.601,436.617,10,1,1.328,6.51,1959.656
2019-01-04 11:00:00,-12.343,0.001,217.455,464.588,11,1,1.33,7.488,2685.257
2019-01-04 12:00:00,-12.295,0.001,200.135,433.386,12,1,1.333,8.004,2829.141
2019-01-04 13:00:00,-12.423,0.001,146.341,345.15,13,1,1.335,8.094,2743.273
2019-01-04 14:00:00,-12.689,0.001,73.088,205.876,14,1,1.337,7.912,2436.829
2019-01-04 15:00:00,-13.244,0.001,12.41,42.427,15,1,1.34,7.942,2343.875
2019-01-04 16:00:00,-13.719,0.001,0.0,0.002,16,1,1.343,7.821,2257.381
2019-01-04 17:00:00,-14.083,0.001,0.0,0.0,17,1,1.347,7.569,2083.361
2019-01-04 18:00:00,-14.547,0.001,0.0,0.0,18,1,1.35,6.849,1612.151
